Sandy         UT	H0070	1.34	110.00	40.54	-111.51
WNCT Studios           Greenville    NC	H0092	0.45	100.00	35.61	-77.37
WNCT Studios           Greenville    NC	H0092	0.45	220.00	35.61	-77.37
WSLS Studios           Roanoke       VA	H0097	0.45	100.00	37.27	-79.94
WNCT Studios           Greenville    NC	H0092	0.89	180.00	35.61	-77.37
WSLS Studios           Roanoke       VA	H0097	0.00	320.00	37.27	-79.94
WNCT Studios           Greenville    NC	H0092	1.34	70.00	35.61	-77.37
WSLS Studios           Roanoke       VA	H0097	0.00	320.00	37.27	-79.94
Black River Electric   Fredericktown MO	H0003	0.00	230.00	37.51	-90.33
BlueStar Systems       Milford      OH	H0344	0.00	240.00	39.19	-84.21
BoblandUSA             San Diego     CA	H0004	0.45	190.00	32.77	-117.05
BoltAssociates         Beltsville    MD	H0364	0.00	10.00	39.03	-76.91
Acton         ON	H0005	0.00	240.00	43.64	-80.08
Mac Weather            Charlottetown PE	H0010	0.00	250.00	46.30	-63.10
Crowley TX WX Page     Crowley       TX	H0012	0.00	160.00	32.58	-97.35
Cornelius     OR	H0024	1.79	0.00	45.34	-123.10
Dickinson     TX	H0025	0.00	90.00	29.44	-95.10
Affton        MO	H0029	0.00	170.00	38.54	-90.31
KALB Studios           Alexandria    LA	H0299	0.00	140.00	31.31	-92.44
Opp           AL	H0168	0.00	170.00	31.30	-86.25
Deer          AR	H0366	0.00	60.00	35.90	-93.25
Apache Juncti AZ	H0182	0.00	40.00	33.41	-111.57
Aspen Trails Subdiv. WX Flagstaff    AZ	H0163	0.00	230.00	35.13	-111.67
Phoenix       AZ	H0322	0.00	20.00	33.57	-112.05
Rainbow City  AL	H0031	0.00	350.00	33.58	-86.05
Hendersonvill TN	H0032	0.00	40.00	36.15	-86.35
Williams Worship       Bellflower    CA	H0339	1.34	190.00	33.89	-118.13
Chula Vista   CA	H0252	0.45	120.00	32.64	-117.08
Cloverdale    CA	H0300	0.00	90.00	38.80	-122.99
Petroglyph Computing   Crestline     CA	H0223	0.00	40.00	34.24	-117.29
Rancho San Diego       El Cajon      CA	H0294	0.00	240.00	32.75	-116.93
Emerald Hills          Redwood City  CA	H0232	0.45	30.00	37.46	-122.27
Folsom        CA	H0346	1.79	150.00	38.67	-121.17
Coyote Weather         Fort Bragg    CA	H0153	1.34	320.00	39.44	-123.78
