Quincy_Res	QURC2	4.07	22.00	39.64	-104.77
Diamond_Hill	DHPC2	3.26	0.00	39.75	-105.02
Elbert	EBBC2	2.50	111.00	39.24	-104.59
Brighton	BHNC2	2.91	349.00	39.99	-104.82
Highlands_Ranch_WTP	HIGC2	1.70	34.00	39.56	-105.02
Salisbury_Park	SAPC2	1.56	6.00	39.50	-104.78
Castle_Rock	COKC2	1.83	174.00	39.38	-104.85
Sugarloaf	SFSC2	3.35	101.00	40.02	-105.40
Louisville_Lake	LEWC2	2.77	343.00	39.99	-105.15
Button_Rock	BTRC2	0.27	135.00	40.22	-105.37
Aurora_Reservoir	AURC2	4.78	7.00	39.61	-104.67
Marston_Lake_North	MSTC2	0.49	23.00	39.64	-105.06
Jay                                    FAWN	JAYF1	1.28	270.10	30.78	-87.14
Quincy                                 FAWN	QUIF1	0.44	319.70	30.54	-84.60
Carrabelle                             FAWN	CARF1	0.36	336.70	29.84	-84.70
Live Oak                               FAWN	LIOF1	1.05	96.10	30.30	-82.90
Macclenny                              FAWN	MACF1	0.93	146.80	30.28	-82.14
Bronson                                FAWN	BRZF1	1.94	144.00	29.40	-82.59
Putnam Hall                            FAWN	PHAF1	0.38	188.40	29.70	-81.98
Citra                                  FAWN	TRAF1	0.51	136.19	29.41	-82.17
Alachua                                FAWN	ALHF1	1.09	169.20	29.80	-82.41
Hastings                               FAWN	STNF1	0.85	120.70	29.69	-81.44
Ocklawaha                              FAWN	CKHF1	0.48	255.90	29.02	-81.97
Pierson                                FAWN	EPRF1	0.36	91.70	29.22	-81.45
Tavares                                FAWN	VRSF1	1.38	161.30	28.79	-81.75
Umatilla                               FAWN	UMLF1	0.36	192.00	28.92	-81.63
Okahumpka                              FAWN	KHPF1	1.92	189.30	28.68	-81.89
Avalon                                 FAWN	VLNF1	1.36	202.20	28.47	-81.65
Brooksville                            FAWN	KSLF1	0.62	136.80	28.64	-82.29
Apopka                                 FAWN	POPF1	1.27	168.90	28.64	-81.55
Lake Alfred                            FAWN	KALF1	0.94	190.30	28.09	-81.72
Kenansville                            FAWN	KENF1	0.18	210.00	27.96	-81.05
Dover                                  FAWN	DOVF1	1.32	151.50	28.02	-82.23
Bradenton                              FAWN	DNTF1	0.90	165.20	27.45	-82.48
Ona                                    FAWN	NNAF1	0.91	171.00	27.40	-81.94
Fort Lauderdale                        FAWN	FDLF1	1.00	246.20	26.09	-80.24
Fort Pierce                            FAWN	PCEF1	2.27	174.60	27.43	-80.40
Homestead                              FAWN	STDF1	0.99	122.90	25.51	-80.50
Immokalee                              FAWN	IMKF1	0.72	135.90	26.46	-81.44
Palmdale                               FAWN	PALF1	0.29	294.80	26.92	-81.40
Sebring                                FAWN	SEBF1	0.69	189.10	27.42	-81.40
Kennesaw      GA	H0038	0.00	0.00	34.05	-84.55
Alexandria I-94 Mile Post 104	MN015	2.22	235.00	45.84	-95.37
Emily MN-6 Mile Post 29	MN020	1.11	150.00	46.69	-93.95
MN-7 Mile Post 11	MN024	3.61	280.00	48.57	-96.91
MN-11 Mile Post 62	MN025	3.33	275.00	48.82	-95.96
East Grand Forks US-2 Mile Post 8	MN060	6.39	285.00	47.87	-96.92
KB0TVJ-5 Boulder                  CO US	AP001	0.00	108.00	40.05	-105.21
K4HG Cudjoe Key                   FL US	AP002	0.00	216.00	24.66	-81.48
W0MAF-1 Lee's Summit              MO US	AP005	0.89	196.00	38.92	-94.38
KD4MRL Orlando                    FL US	AP008	2.68	154.00	28.56	-81.27
W0LED-1 Crystal                   MN US	AP013	0.45	153.00	45.05	-93.35
WA2GUG New Hyde Park              NY US	AP014	0.00	29.00	40.73	-73.69
WA2GUG-2 Cairo                    NY US	AP015	0.00	297.00	42.34	-74.03
N7ZEF Sinclair                    WY US	AP017	0.00	0.00	41.78	-107.12
WB2WPA-4 Naples                   FL US	AP022	0.00	254.00	26.13	-81.77
KG4DUC-5 Mulberry                 FL US	AP028	0.89	357.00	27.93	-82.01
WB0WNX Sioux City                 IA US	AP032	2.68	153.00	42.56	-96.40
N3EOY Franklin Center             PA US	AP034	0.00	168.00	41.92	-80.24
N7GME Seattle                     WA US	AP035	0.00	37.00	47.47	-122.61
N7YT Bremerton                    WA US	AP036	0.00	291.00	47.55	-122.88
