KF4KUL St. Petersburg             FL US	AP037	0.00	338.00	27.83	-82.65
W0HII Omaha                       NE US	AP040	0.89	295.00	41.29	-96.04
WB0NKX Faribault                  MN US	AP043	0.00	292.00	44.28	-93.28
KD4SFD Greer                      SC US	AP044	0.00	79.00	34.95	-82.26
WA5RRN Topeka                     KS US	AP046	2.24	190.00	39.02	-95.79
W1AW Hartford                     CT US	AP048	0.00	2.00	41.71	-72.73
KB5NMB-3 Fulton                   MS US	AP051	0.00	5.00	34.28	-88.41
W5VEX-1 Belton                    TX US	AP053	1.34	221.00	31.06	-97.49
N4JCV Orlando                     FL US	AP063	0.00	0.00	28.57	-81.35
N4WDH Wesley Chapel               FL US	AP067	0.00	123.00	28.19	-82.34
WX3I Eagleville                   PA US	AP069	0.00	200.00	40.16	-75.40
K4TWE Easley                      SC US	AP070	0.00	32.00	34.77	-82.59
VE6DJJ Calgary                   ALT CA	AP075	0.00	25.00	51.02	-114.00
W5NGU-3 Denton                    TX US	AP076	5.36	217.00	33.23	-97.13
N5SNT-2 New Braunfels             TX US	AP086	0.45	151.00	29.67	-98.12
OH2GAX Tuusula                       FI	AP089	0.89	174.00	60.41	25.06
N5WFU-5 Bryan                     TX US	AP092	0.00	144.00	30.67	-96.17
W0NWS Valley                      NE US	AP093	3.13	183.00	41.32	-96.37
W0NWS-3 Omaha                     NE US	AP094	2.24	219.00	41.26	-95.94
AJ0A Papillion                    NE US	AP095	0.00	0.00	41.15	-96.06
AE5PL Melissa                     TX US	AP096	2.68	160.00	33.27	-96.53
W2FAR Nunda                       NY US	AP101	0.00	170.00	42.61	-77.88
KB0URX-3 Loveland                 CO US	AP102	0.00	274.00	40.43	-105.09
KD4LXB-3 Boynton Beach            FL US	AP105	0.00	0.00	26.54	-80.07
W4NHL-12 Pinellas Co              FL US	AP113	0.00	255.00	27.97	-82.71
K4TCV-1 Miami                     FL US	AP114	0.00	239.00	25.74	-80.21
K3GLK Liverpool                   PA US	AP116	0.00	87.00	40.55	-77.01
N5FAZ-2 El Paso                   TX US	AP117	0.45	106.00	31.79	-106.38
KC8LCP-10 Grand Haven             MI US	AP120	4.92	218.00	43.06	-86.24
KC8LCP-11 Grand Haven             MI US	AP121	4.47	212.00	42.97	-86.22
K08C Jenison                      MI US	AP126	0.00	0.00	42.94	-85.81
K42C White Cloud                  MI US	AP132	0.00	0.00	43.56	-85.77
KC04 Oceana                       MI US	AP136	3.58	250.00	43.64	-86.33
WA0RTU Savannah                   MO US	AP138	0.00	195.00	39.88	-94.73
K4PIG Merritt Island              FL US	AP146	0.00	165.00	28.38	-80.71
N9EE-1 New Port Richey            FL US	AP150	0.00	290.00	28.23	-82.67
WX7YUM Yuma                       AZ US	AP155	0.00	188.00	32.64	-114.41
WA6TK Rosamond                    CA US	AP156	1.34	104.00	34.86	-118.17
SV2BBO-2 Thessaloniki                GR	AP157	2.24	188.00	40.63	22.95
WB7UVH Washougal                  WA US	AP164	0.00	265.00	45.59	-122.16
KG0HM-2 Crystal Lakes             CO US	AP176	0.00	219.00	40.86	-105.64
W5EUT-5 Antero Junction           CO US	AP182	0.00	319.00	38.91	-105.96
NN5DX-5 Fort Stockton             TX US	AP183	3.58	288.00	30.89	-102.89
N4BSA Clearwater                  FL US	AP185	0.00	253.00	27.94	-82.76
KB9PKI Orland Park                IL US	AP186	0.00	230.00	41.63	-87.84
KD4PMP Nashville                  TN US	AP187	0.00	16.00	36.08	-86.94
N4ZIQ St. Cloud                   FL US	AP189	0.00	0.00	28.26	-81.14
K0ANI Denver                      CO US	AP190	0.89	356.00	39.63	-105.05
WD9EKA Marshall                   IL US	AP194	0.00	289.00	39.43	-87.65
W6PKT-3 No. Ukiah                 CA US	AP198	3.58	329.00	39.33	-123.27
K6EKB-5 Cameron Park              CA US	AP199	0.00	236.00	38.71	-120.99
N6TBQ Del Rey Oaks                CA US	AP200	2.68	275.00	36.60	-121.84
W6BXN-3 Bear Valley               CA US	AP202	0.45	326.00	37.56	-120.08
KF6HJO Selma                      CA US	AP203	0.00	319.00	36.51	-119.68
KD6DSI San Luis Obispo            CA US	AP204	0.89	274.00	35.26	-120.71
K1PIG Kent's Hill                 ME US	AP205	0.00	270.00	44.47	-70.04
K1PIG-4 Kent's Hill               ME US	AP206	0.00	212.00	44.58	-70.00
WB7COX Nampa                      ID US	AP208	0.89	0.00	43.54	-116.54
WA1DLZ Mercer                     ME US	AP210	0.89	251.00	44.63	-69.89
K1MGY Littleton                   MA US	AP214	0.00	236.00	42.54	-71.47
W0BIS-2 Antelope                  ND US	AP215	7.60	354.00	46.84	-102.17
W0BIS-8 St. Anthony               ND US	AP216	3.13	312.00	46.59	-100.80
W0BIS-4 Flasher                   ND US	AP217	2.24	311.00	46.46	-101.23
W0BIS-5 Selfridge                 ND US	AP218	3.13	300.00	46.16	-100.96
W0BIS-6 Center                    ND US	AP219	0.45	359.00	47.11	-101.29
WA0BAG-5 Bagg Mtn.                CO US	AP222	5.36	113.00	40.53	-105.25
N0LRF Berryton                    KS US	AP225	2.68	215.00	38.92	-95.45
KC5UNC W.Oklahoma City            OK US	AP227	0.89	140.00	35.45	-97.70
KM5HG-3 Claremore                 OK US	AP228	3.13	163.00	36.07	-95.62
N1PGS Highgate Center             VT US	AP241	1.34	134.00	44.92	-72.98
VE2REQ Varennes                  QUE CA	AP243	5.81	291.00	45.51	-73.56
W1SEM Easthampton                 MA US	AP245	0.00	248.00	42.25	-72.68
K5WPH El Paso                     TX US	AP255	0.00	73.00	31.83	-106.45
N3OBQ Perryville                  MD US	AP260	0.00	331.00	39.57	-76.07
KC6MLR Granada Hills              CA US	AP263	0.00	141.00	34.30	-118.51
KP3G Juncos                       PR US	AP267	0.00	224.00	18.19	-65.92
W0BIS-7 New Salem                 ND US	AP271	6.71	332.00	46.80	-101.41
N1HRK N.Kingston                  RI US	AP273	0.00	225.00	41.57	-71.49
WA6OFT Parker                     AZ US	AP277	0.00	64.00	34.15	-114.26
N1WTQ Bangor                      ME US	AP278	0.00	281.00	44.83	-68.72
KA1WTS-15 Salem                   CT US	AP283	0.00	270.00	41.49	-72.28
WY1U Wallingford                  CT US	AP284	0.00	214.00	41.49	-72.84
N3YMW Fleetwood                   PA US	AP286	0.00	67.00	40.40	-75.83
W2GWY Glen Falls                  NY US	AP289	0.00	0.00	43.28	-73.65
WU2Z N. Brunswick                 NJ US	AP292	0.00	49.00	40.45	-74.48
N1TKK-1 San Juan                  PR US	AP302	0.00	82.00	18.40	-66.08
KC5EZZ San Angelo                 TX US	AP304	3.13	185.00	31.44	-100.39
WA3NNA Larchmont                  PA US	AP307	0.89	245.00	39.98	-75.38
K2SLZ-5 East Aurora               NY US	AP312	0.00	202.00	42.75	-78.64
K2NV Grand Isle                   NY US	AP315	0.00	145.00	43.02	-79.02
VE3EYR Nanticoke                 ONT CA	AP320	1.79	222.00	42.99	-80.32
VE3KSR Kitchner                  ONT CA	AP321	7.15	328.00	43.40	-80.63
WA8SIE Spring Hill                WV US	AP326	0.45	170.00	38.35	-81.73
W4HF-1 Wilkesboro                 NC US	AP340	0.00	63.00	36.13	-81.17
WB8LGH Orlando                    FL US	AP342	0.89	203.00	28.56	-81.27
N8UMU Waterville                  OH US	AP345	0.00	137.00	41.49	-83.72
AB8KN-2 Upper Arlington           OH US	AP346	0.00	73.00	40.02	-83.05
W8GUC Vandalia                    OH US	AP349	3.58	170.00	39.87	-84.21
W8DYY Miamisburg                  OH US	AP350	0.00	120.00	39.63	-84.28
N8NQF Middletown                  OH US	AP352	0.00	99.00	39.53	-84.34
KB8SGF Detroit                    MI US	AP355	0.00	263.00	42.37	-82.93
KM5GE Jackson                     MS US	AP364	0.00	288.00	32.34	-90.13
WL7CKY Manasota                   FL US	AP370	0.00	80.00	27.00	-82.40
W9QL Druce Lake                   IL US	AP377	0.00	0.00	42.38	-87.99
WO4U-10 Crossville                TN US	AP380	0.00	352.00	35.92	-85.07
WA4DSY Mountain Park              GA US	AP386	0.89	45.00	34.09	-84.37
W4EPI-4 Snellville                GA US	AP388	0.00	287.00	33.86	-84.09
KB7ZHE Apache Junction            AZ US	AP390	1.34	132.00	33.40	-111.57
AB4KN Peachtree City              GA US	AP395	0.00	83.00	33.41	-84.56
WA9YVE Ixonia                     WI US	AP400	1.34	204.00	43.14	-88.59
N9OIG Union Grove                 WI US	AP401	0.00	223.00	42.68	-87.99
KF4CHG Ft.White                   FL US	AP403	0.45	0.00	30.01	-82.76
KE4LKQ Broadway                   VA US	AP404	0.00	188.00	38.60	-78.79
N2KBD Ringwood                    NJ US	AP413	0.00	127.00	41.11	-74.25
WA6OFT-4 Poston                   AZ US	AP423	0.00	231.00	33.99	-114.43
N0SLJ Harrisonville               MO US	AP426	0.00	140.00	38.65	-94.35
KB0VZP Warrensburg                MO US	AP427	1.79	164.00	38.73	-93.67
KC0CZI Jefferson City             MO US	AP429	0.00	225.00	38.55	-92.21
K0STL-15 Manchester               MO US	AP431	0.00	67.00	38.67	-90.54
WB9BJQ Onalaska                   WI US	AP449	0.89	184.00	43.88	-91.23
W9RPM La Crosse                   WI US	AP450	2.24	150.00	43.77	-91.22
W0NSA Omaha                       NE US	AP455	0.89	281.00	41.29	-96.15
N5RIG Fremont                     NE US	AP458	3.13	250.00	41.45	-96.48
MB7UIK Maidstone                     UK	AP462	1.34	305.00	51.17	0.62
KU4ME Andersonville               TN US	AP464	0.00	294.00	36.19	-83.93
W7EPP Lynden                      WA US	AP472	0.00	313.00	48.96	-122.46
VE7SDJ-1 Victoria                 BC CA	AP473	0.45	174.00	48.55	-123.45
KB7OHO Tukwila                    WA US	AP475	0.00	360.00	47.50	-122.28
WA7RVV Medical Lake               WA US	AP478	0.00	208.00	47.64	-117.70
KC7AM-10 Tollgate                 OR US	AP479	0.00	0.00	45.78	-118.09
N9OSQ-7 Pensacola                 FL US	AP483	0.00	0.00	30.47	-87.24
WX6X Springfield                  MO US	AP487	0.89	136.00	37.20	-93.27
WA6OFT-5 Quartzsite               AZ US	AP492	2.68	143.00	33.69	-114.22
KC5WBG Weslaco                    TX US	AP495	0.00	147.00	26.21	-98.00
KD4YJJ-2 Pensacola                FL US	AP499	0.00	319.00	30.45	-87.22
N1SKZ Hillsboro                   NH US	AP500	0.00	160.00	43.16	-71.89
N4BHM Roanoke                     VA US	AP504	0.00	100.00	37.34	-79.88
K6YDW Henderson                   NV US	AP516	3.58	231.00	36.03	-115.02
WW7RA Gold Mountain               WA US	AP517	0.00	110.00	47.55	-122.81
W2KB Lebanon Twp.                 NJ US	AP519	0.00	292.00	40.76	-74.85
WA4LZC Orlando                    FL US	AP520	0.00	110.00	28.58	-81.44
KD4K Cumming                      GA US	AP521	0.00	114.00	34.15	-84.11
K3CHZ Dayton                      MD US	AP522	0.00	16.00	39.24	-77.00
KG4CVZ Tallulah Falls             GA US	AP526	0.00	359.00	34.71	-83.44
WB0TAX Elm Grove                  LA US	AP527	0.00	59.00	32.40	-93.58
W7IUC-3 Big Pine Key              FL US	AP530	0.00	194.00	24.67	-81.36
W2MJD Hempstead                   NY US	AP534	0.00	275.00	40.71	-73.64
N1LTP Norton                      MA US	AP535	0.00	216.00	41.99	-71.17
KC6TYC Port St. John              FL US	AP537	0.00	359.00	28.48	-80.80
WA3YML Thornhurst                 PA US	AP538	0.00	49.00	41.22	-75.61
LU2VA-8 Neuquen                      AR	AP540	0.00	45.00	-38.95	-68.14
AD6NH Placentia                   CA US	AP541	0.00	209.00	33.87	-117.83
WM0F Berthoud                     CO US	AP542	5.81	350.00	40.34	-105.10
KB0WJQ-1 Rock Rapids              IA US	AP551	2.24	205.00	43.45	-96.18
N2XW Manahawkin                   NJ US	AP554	0.00	238.00	39.74	-74.29
WA1LOU-15 Wolcott                 CT US	AP555	0.00	0.00	41.63	-72.95
N9LYA-3 Mitchell                  IN US	AP559	0.00	286.00	38.73	-86.47
KB9LHX-6 Jasper                   IN US	AP560	0.00	334.00	38.39	-86.93
AI9H-6 Mount Carmel               IL US	AP561	0.00	0.00	38.43	-87.78
KQ4YD White City                  FL US	AP565	0.00	176.00	29.88	-85.21
WB7SWW Dunkirk                    NY US	AP567	1.34	158.00	42.48	-79.34
KF3BH Catawissa                   PA US	AP570	0.00	3.00	40.95	-76.45
K0JJV Hays                        KS US	AP574	0.00	7.00	38.87	-99.31
KB5WIO Amarillo                   TX US	AP575	1.34	80.00	35.15	-101.88
K4MG Ocala                        FL US	AP577	0.00	119.00	29.12	-81.89
W1ZCJ Chelsea                     VT US	AP578	0.45	254.00	44.01	-72.48
WA9IN-2 Washington                IN US	AP580	0.00	64.00	38.66	-87.17
W9HOI Kickapoo                    IL US	AP583	2.68	181.00	40.78	-89.75
KC9BWF-1 Green Bay                WI US	AP584	9.83	235.00	44.65	-87.90
KC9BWF-3 Green Bay                WI US	AP585	5.81	190.00	44.90	-87.82
N1EPX Jamaica Plain               MA US	AP586	0.00	240.00	42.30	-71.12
KD5RXP Ft.Worth                   TX US	AP590	0.00	0.00	32.85	-97.27
KC5JIF Amarillo                   TX US	AP593	0.00	264.00	35.17	-101.93
KC5JZG-2 Bryan                    TX US	AP594	0.00	0.00	30.65	-96.33
N1HQ Panama City                  FL US	AP599	0.00	303.00	30.20	-85.67
KG5RG Dickinson                   TX US	AP602	0.00	170.00	29.44	-95.10
WB9HLA-2 Hartford City            IN US	AP610	0.89	72.00	40.45	-85.37
PA0OKE Neptunuslaan                  NL	AP613	3.13	181.00	52.50	4.75
PA1PV Haarlen                        NL	AP616	0.00	280.00	52.37	4.66
IT9OBK Messina                       IT	AP618	0.00	156.00	38.21	15.56
M0ADS Sheffield                      UK	AP624	0.00	0.00	53.36	-1.50
VE4UB Selkirk                     MB CA	AP627	0.00	302.00	50.15	-96.89
KC7MRW Lincoln                    ND US	AP640	3.13	325.00	46.77	-100.66
KB0WBM-2 Arnold                   ND US	AP641	1.79	314.00	46.89	-100.78
W0NWS-2 Mead                      NE US	AP642	1.79	149.00	41.22	-96.49
K5ZZT-5 San Antonio               TX US	AP647	0.00	126.00	29.55	-98.62
KA5KTH Austin                     TX US	AP649	2.24	62.00	30.44	-97.74
N5CWM Montgomery                  TX US	AP650	1.34	135.00	30.39	-95.65
N5YXO Granbury                    TX US	AP654	4.47	222.00	32.42	-97.80
KC5TIL Rendon                     TX US	AP656	1.34	183.00	32.57	-97.27
KC4WTI Carrolton                  TX US	AP657	4.02	261.00	32.93	-96.93
PA0OKE Amsterdam                     NL	AP669	3.13	181.00	52.49	4.74
KD5FGW NW Oranjestad                 AW	AP671	3.58	130.00	12.53	-70.03
NR0A-4 Norfolk                    NE US	AP677	0.00	124.00	42.04	-97.45
ON5CT St-Niklaas                     BE	AP679	1.34	242.00	51.17	4.14
KA1GOZ Nashua                     NH US	AP680	0.45	47.00	42.72	-71.47
W7KKE-3 Road's End                OR US	AP682	0.00	0.00	45.01	-124.01
KD7CTY Vancouver                  WA US	AP685	0.45	40.00	45.66	-122.60
KF4TTB-2 Huntsville               AL US	AP689	0.00	354.00	34.72	-86.65
KF4TTB-1 Huntsville               AL US	AP690	0.00	0.00	34.65	-86.58
KE4ROC-9 Flemington Hts.          AL US	AP691	0.00	4.00	34.67	-86.55
EA3ABN Barcelona                     ES	AP701	2.24	201.00	41.61	2.08
N0PJH Grand Island                NE US	AP706	0.00	326.00	40.93	-98.40
W0DVM Divide                      CO US	AP711	0.00	4.00	38.90	-105.21
KA1HEU Hudson                     NH US	AP712	0.00	217.00	42.79	-71.40
K4YK Greensboro                   GA US	AP718	0.00	151.00	33.47	-83.26
KD4BNP Palm Bay                   FL US	AP725	0.00	155.00	27.93	-80.65
K0YCN East Tawakoni               TX US	AP733	3.13	130.00	32.89	-95.93
VK5RR Adelaide                       AU	AP736	0.00	302.00	-34.79	138.63
KC4ELV Honey Creek                GA US	AP742	0.00	104.00	33.59	-84.05
KC4ANB Trussville                 AL US	AP747	0.00	28.00	33.70	-86.60
N0QK Winona                       MN US	AP748	1.34	206.00	44.05	-91.67
N3FJA Mountain Top                PA US	AP749	0.00	358.00	41.10	-76.00
W1OEM Flanders                    CT US	AP750	0.00	23.00	41.37	-72.22
WB2FTX Butler                     NJ US	AP752	0.00	218.00	40.99	-74.35
KC7BWK Florence                   OR US	AP758	0.00	201.00	44.00	-124.13
WB0BLV Security/Widefield         CO US	AP760	0.00	331.00	38.73	-104.70
OX3HI Kangerlussuaq                  GL	AP763	3.13	107.00	67.01	-50.73
N2XP Flanders                     NJ US	AP767	0.00	23.00	40.86	-74.67
WC4PEM-10 Bartow                  FL US	AP769	2.68	180.00	27.88	-81.82
WD9HDQ-2 Northfield               MN US	AP771	2.24	203.00	44.45	-93.16
KB4TOH-11 Columbia                NC US	AP773	0.00	0.00	35.90	-76.35
N8OVD Wendell                     NC US	AP774	0.00	180.00	35.83	-78.44
K4CCC-9 Cheraw                    SC US	AP779	0.00	75.00	34.69	-79.90
W5VBQ Santa Fe                    NM US	AP780	0.00	44.00	35.71	-105.92
WB5NZV-8 N.Denton                 TX US	AP782	0.00	160.00	33.25	-97.14
KC5LPN Houston                    TX US	AP787	1.34	211.00	29.67	-95.49
W0HVA Minot                       ND US	AP789	0.45	315.00	48.24	-101.28
KB0TVJ-4 MeadowLake Airport       CO US	AP792	1.34	249.00	38.95	-104.58
KD7TTL Greenbank                  WA US	AP795	0.00	86.00	48.06	-122.58
AE0S-3 Columbia                   MO US	AP799	0.00	99.00	38.92	-92.35
W4OZK-7 Mentone                   AL US	AP802	0.00	103.00	34.54	-85.61
KE6AFE Santa Cruz                 CA US	AP803	0.00	96.00	36.98	-122.02
KG4YZY New Port Richey            FL US	AP808	0.00	227.00	28.26	-82.69
K4NUT Port Richey                 FL US	AP809	0.89	110.00	28.31	-82.67
KC2IXE Bayside Hills              NY US	AP811	0.00	68.00	40.75	-73.77
VE3XF Stayner                    ONT CA	AP812	0.45	215.00	44.42	-80.08
VA3HST Guelph                    ONT CA	AP815	1.34	205.00	43.57	-80.22
VA3AT Renfrew                    ONT CA	AP817	0.00	237.00	45.53	-76.66
VA3MWK Ashton                    ONT CA	AP818	3.13	217.00	45.09	-76.00
VE3TEN Ottawa                    ONT CA	AP819	0.00	195.00	45.32	-75.67
AD4BL Fairbanks                   AK US	AP823	0.00	235.00	64.87	-147.17
K5WPN-10 Duncan                   OK US	AP824	7.15	107.00	34.49	-97.96
N9NJK Warsaw                      IN US	AP831	0.00	203.00	41.23	-85.84
WB9TLH-11 Bloomington             IN US	AP832	0.00	0.00	39.07	-86.63
W5MAI San Antonio                 TX US	AP838	0.89	195.00	29.69	-98.52
KC0OGY-5 Bailey                   CO US	AP840	0.00	153.00	39.43	-105.44
WE1A USAF Academy                 CO US	AP841	0.45	270.00	38.99	-104.87
VE5VAP Dalmeny                    SK CA	AP842	2.68	296.00	52.35	-106.76
WN5PFI N.Dallas                   TX US	AP846	0.00	158.00	32.98	-96.82
KC2GLZ Lowville                   NY US	AP850	4.02	265.00	43.83	-75.62
WG4R Meadows of Dan               VA US	AP852	0.00	256.00	36.77	-80.40
N4HHP-2 Ft. Lauderdale            FL US	AP855	0.00	180.00	26.09	-80.12
N4HHP-3 Hallandale Beach          FL US	AP856	0.00	308.00	25.99	-80.13
KF4LQQ Sarasota                   FL US	AP859	0.00	194.00	27.31	-82.52
KC0KOQ-1 Goodland                 KS US	AP862	2.24	338.00	39.77	-101.81
AB0XM-1 Great Bend                KS US	AP864	2.68	287.00	38.37	-99.02
KC0LBV Farmington                 MN US	AP870	2.68	198.00	44.69	-93.20
N0PFY Northfield                  MN US	AP871	0.00	230.00	44.57	-93.13
N0EST Rochester                   MN US	AP872	0.00	107.00	44.10	-92.49
VK2AAK Forster                       AU	AP874	0.89	158.00	-32.20	152.52
KA8OAD-1 Fairlawn                 OH US	AP877	0.00	304.00	41.14	-81.60
AB9FX Chicago                     IL US	AP878	1.79	30.00	42.00	-87.80
N9VPV Galesburg                   IL US	AP879	0.89	199.00	40.95	-90.39
KK7MQ Twin Falls                  ID US	AP883	2.24	105.00	42.55	-114.43
VE7IMD-1 Delta                    BC CA	AP884	0.00	22.00	49.02	-123.09
KB7DZR Tigard                     OR US	AP890	2.24	54.00	45.39	-117.24
KF6JJP Richmond                   CA US	AP895	3.58	232.00	37.60	-122.10
WA6YLB-4 Govt.Peak                CA US	AP897	9.83	329.00	35.35	-117.67
WA6YLB-6 Visalia                  CA US	AP898	0.00	0.00	36.28	-119.31
KE6ZPS-1 Miranda Canyon           CA US	AP900	6.71	38.00	35.05	-120.01
KB6OQJ Santa Ynez                 CA US	AP901	0.89	311.00	34.60	-120.09
W6MAF Hesperia                    CA US	AP904	4.02	248.00	34.37	-117.41
W9IF-4 Torry Pines                CA US	AP907	0.00	0.00	32.89	-117.25
K4GIG-7 Brindley Mtn.             AL US	AP911	0.00	245.00	34.40	-86.80
WB2JSH Eaton                      CO US	AP912	5.81	343.00	40.54	-104.78
WB5SLA Ball Ground                GA US	AP913	0.89	64.00	34.37	-84.33
KE4YGK Fort Payne                 AL US	AP916	0.00	323.00	34.44	-85.81
W7NWS Billings                    MT US	AP917	0.00	299.00	45.75	-108.57
OZ6GX-5 Roervig                      DK	AP921	0.89	210.00	55.95	11.74
G8TQH Devon                          UK	AP930	2.24	148.00	50.22	-3.75
MB7UHR Luton                         UK	AP932	0.00	336.00	51.90	-0.51
YV5KXE-2 Caracas                     VE	AP942	0.00	130.00	10.51	-66.90
F4BNZ Drouais                        FR	AP944	1.79	154.00	48.74	1.42
F1HCI-12 Versailles                  FR	AP946	0.00	262.00	48.73	2.25
F4CEP-12 Rubelles                    FR	AP949	3.13	250.00	48.56	2.68
ZF1EJ Savannah                       KY	AP953	0.00	60.00	19.25	-81.27
K4TEM Tallahassee                 FL US	AP956	0.00	340.00	30.41	-84.27
KA4EOC Tallahassee                FL US	AP957	0.00	274.00	30.39	-84.23
HB9TJM-8 Vallorbe                    CH	AP960	0.00	247.00	46.71	6.44
EA3AUC Sobira                        ES	AP963	0.89	116.00	42.41	1.13
EB5ESX Sta Pola                      ES	AP965	1.79	56.00	38.22	-0.51
EA3FAJ-1 Girona                      ES	AP968	2.24	136.00	41.97	2.79
EA3RCK-1 Lleida                      ES	AP969	0.00	351.00	41.61	0.61
PE1NAT-1 Heerhugowaard               NL	AP973	4.92	230.00	52.71	4.85
DO7VLR-5 Zweibruecken                DE	AP976	0.00	281.00	49.38	7.21
ZL1TRE Auckland                      NZ	AP977	2.68	287.00	-36.85	174.85
KC9BWF-3 Sister Bay               MI US	AP979	5.81	190.00	45.20	-87.12
N8QQ Cincinnati                   OH US	AP984	0.00	292.00	39.21	-84.55
KB9QJM-11 Cloverdale              IN US	AP985	0.00	246.00	39.50	-86.78
KC5CPO Keene                      TX US	AP987	0.89	119.00	32.40	-97.35
KG6MOZ Sunnyvale                  CA US	AP990	0.00	79.00	37.39	-122.02
W0BIS-3 Killdeer                  ND US	AP991	0.00	0.00	47.35	-102.75
KI4BUM Burlington                 KY US	AP995	0.00	307.00	39.02	-84.72
KC5YVU Lampasas                   TX US	AP996	4.92	159.00	31.11	-98.33
SR3TK-1 Gontyniec                    PL	AR009	0.00	212.00	52.98	16.85
IK1ZQJ Torino                        IT	AR011	0.00	351.00	45.10	7.65
IK3SVW-3 Treviso                     IT	AR020	1.34	47.00	45.68	12.21
IW5BFZ Lucca                         IT	AR022	4.02	256.00	43.86	10.52
I4GOS-3 Rimini                       IT	AR023	3.58	322.00	44.06	12.55
